,gene
1072,FXYD5
1073,NAP1L4
1074,TRMT11
1075,TAPBP
1076,NFIB
1077,IGSF8
1078,ACP5
1079,YY1
1080,WDR5
1081,TMSB4X
1082,TRAF4
1083,TPR
1084,PDLIM7
1085,SMU1
1086,NUP188
1087,GLMP
1088,RPL17
1089,GRB7
1090,SFRP4
1091,EEF1A1
1092,SORBS3
1093,ZNF714
1094,NCK2
1095,MLPH
1096,SH3BGRL3
1097,ZNF740
1098,TIMM23
1099,LY6E
1100,MAL2
1101,FAM214A
1102,PFN2
1103,MAGIX
1104,BZRAP1
1105,JKAMP
1106,GDPD5
1107,CREBZF
1108,PSMD6
1109,SLC2A6
1110,LAGE3
1111,TGDS
1112,MZT2B
1113,TNKS1BP1
1114,TMUB2
1115,FAM195A
1116,PDE6B
1117,SLC1A1
1118,GINS2
1119,CRAT
1120,CNNM4
1121,SFPQ
1122,PSME2
1123,ZFP14
1124,CLTC
1125,UBC
1126,SDCBP
1127,IL17D
1128,ACSL1
1129,ECHS1
1130,PPTC7
1131,NFASC
1132,PERP
1133,BAMBI
1134,ENSA
1135,SARAF
1136,HIGD2A
1137,FAM195B
1138,PABPN1
1139,KDM1A
1140,PTGFRN
1141,FLOT2
1142,SENP7
1143,CYHR1
1144,SEZ6L2
1145,BCCIP
1146,CRNKL1
1147,TIMM21
1148,GRAMD1C
1149,NT5C3A
1150,JADE2
1151,MPZL1
1152,AC010642.1
1153,MED14
1154,SLC25A24
1155,RPL22
1156,HM13
1157,BGN
1158,CXCL12
1159,MARCH7
1160,FBXW4
1161,POM121C
1162,RS1
1163,LRRC32
1164,MAX
1165,MAGI1
1166,GLUL
1167,IGFBP5
1168,CSDE1
1169,CCDC6
1170,CERS4
1171,A2M
1172,SASH1
1173,EEF1E1
1174,NAAA
1175,PDK2
1176,ATP5G3
1177,CD24
1178,COPG2
1179,NUDCD3
1180,CDC14A
1181,ARL6IP1
1182,IER2
1183,ZEB2
1184,ACOT2
1185,RAB21
1186,CBX1
1187,TRIM25
1188,DGCR6
1189,EPAS1
1190,RPL37
1191,MAP9
1192,TACSTD2
1193,AREL1
1194,AES
1195,RBBP6
1196,LAMP5
1197,CLDN7
1198,TRMT112
1199,C12orf29
1200,TCN2
1201,SELM
1202,COL13A1
1203,TIMP1
1204,HP1BP3
1205,NR3C2
1206,PPP5C
1207,TFDP2
1208,CST1
1209,ABHD17A
1210,KHDRBS1
1211,EIF3E
1212,USP3
1213,PSMB5
1214,LAMB2
1215,STAT6
1216,POMZP3
1217,EZR
1218,AP1S1
1219,IDNK
1220,BTG2
1221,DNAJB1
1222,CYBRD1
1223,ATP6V0D1
1224,POTEE
1225,TPM4
1226,FAP
1227,SERPINF1
1228,PER1
1229,GMPS
1230,DPT
1231,DCN
1232,NUTF2
