,gene
1227,Scg3
1228,Aldoart2
1229,Srrm2
1230,Tor1aip1
1231,St3gal5
1232,Snhg3
1233,Fat1
1234,Klhl24
1235,Uba5
1236,Grlf1
1237,Pcgf2
1238,Rheb
1239,Tex9
1240,Foxk2
1241,C1qc
1242,Rad51d
1243,Ostc
1244,Kat5
1245,Slain2
1246,Efcab10
1247,Lactb
1248,Gpr162
1249,Rasa3
1250,Picalm
1251,Ociad1
1252,Ptpdc1
1253,Ppp1r7
1254,Numa1
1255,Glb1
1256,Fgf9
1257,Phtf2
1258,Scrt2
1259,Bid
1260,Ctss
1261,Serf2
1262,Cox7a2l
1263,Ube2q1
1264,Ube2f
1265,Vps26b
1266,Txndc5
1267,Gpr85
1268,Grina
1269,Pdpk1
1270,9230110C19Rik
1271,Fam50a
1272,Unc119
1273,Rpl7l1
1274,Spred3
1275,Lurap1l
1276,Rps19
1277,Lrrtm3
1278,BC016423
1279,Psmc5
1280,Tmem39a
1281,Tm7sf3
1282,Kbtbd7
1283,Sept4
1284,Fyttd1
1285,Mylk
1286,Abca1
1287,Ppp2cb
1288,Coq2
1289,Map2k4
1290,2300009A05Rik
1291,Pcdh9
1292,Map3k2
1293,Spry1
1294,Actn1
1295,D2hgdh
1296,Mb21d2
1297,Ppm1g
1298,Rgs8
1299,Samhd1
1300,Tmppe
1301,Gdpd1
1302,Tmem135
1303,Fnbp1
1304,Morf4l1
1305,Fam155a
1306,Snph
1307,Psmb1
1308,Trf
1309,Slc6a1
1310,Gnaq
1311,Ppap2b
1312,Plvap
1313,Fgf14
1314,Mapk8ip2
1315,2700089E24Rik
1316,Lyz2
1317,Ppp2r5b
1318,Lonrf3
1319,Agrn
1320,Abcc9
1321,Zcchc9
1322,Acyp1
1323,Fam126b
1324,Scap
1325,Rai1
1326,Cxx1c
1327,Gabarapl1
1328,Mapt
1329,Sh3kbp1
1330,Mrp63
1331,Zdhhc17
1332,Ptpn2
1333,Gorasp2
1334,Snrnp200
1335,Nid1
1336,Arrb1
1337,4922501C03Rik
1338,H2afy2
1339,Hist1h2ai
1340,Plxna3
1341,Apeh
1342,6720401G13Rik
1343,1810037I17Rik
1344,Git1
1345,Polr2f
1346,Sema7a
1347,Gnb4
1348,Dazap1
1349,Tra2b
1350,Ralgps2
1351,Xbp1
1352,Trappc1
1353,Slc35a2
1354,Cand1
1355,Tulp4
1356,Cbr2
1357,Opn3
1358,Casp8ap2
1359,Klf16
1360,D10Jhu81e
1361,Gad2
1362,Ppid
1363,Topors
1364,Efemp2
1365,Zc3h11a
1366,Paqr4
1367,Rcan2
1368,Etv1
1369,Hist1h2an
1370,Rpgr
1371,Adipor1
1372,Ahnak
1373,Ddah1
1374,Tmem206
1375,Ddx6
1376,S100a5
1377,Rps9
1378,Th
1379,Wdr62
1380,Golga7
1381,Rragd
1382,E030024N20Rik
1383,Ppfia1
1384,Tpi1
1385,Prdx2
1386,Dnalc4
1387,Ywhab
1388,Tnrc6b
1389,Arhgap33
1390,Alkbh6
1391,Chd9
1392,Mpp6
1393,Fam20c
1394,Smim15
1395,Atl1
1396,AI848285
1397,Sec62
1398,Arhgap42
1399,Bcap31
1400,A030009H04Rik
1401,Ctnnbl1
1402,Eif4b
1403,Ift27
1404,Nfic
1405,Ergic3
1406,Fzd9
1407,Bcl7b
1408,P4htm
1409,Dnajc27
1410,Pgp
1411,Lrrn3
1412,Bri3bp
1413,Mt2
1414,Zbtb18
1415,A430005L14Rik
1416,Brpf1
1417,Atp5l
1418,Mvb12b
1419,Capzb
1420,Ccdc137
1421,Fam73a
1422,Sec11a
1423,Map7d2
1424,Prkrir
1425,Zfp385b
1426,Jdp2
1427,2810468N07Rik
1428,Adck5
1429,Syndig1
1430,Dync1i2
1431,Cplx1
1432,Slc18a2
1433,Prpf3
1434,Nampt
