,gene
875,ENSG00000066468
876,ENSG00000066557
877,ENSG00000066583
878,ENSG00000066629
879,ENSG00000066651
880,ENSG00000066654
881,ENSG00000066697
882,ENSG00000066735
883,ENSG00000066739
884,ENSG00000066777
885,ENSG00000066827
886,ENSG00000066855
887,ENSG00000066923
888,ENSG00000066926
889,ENSG00000066933
890,ENSG00000067048
891,ENSG00000067057
892,ENSG00000067064
893,ENSG00000067066
894,ENSG00000067082
895,ENSG00000067113
896,ENSG00000067141
897,ENSG00000067167
898,ENSG00000067177
899,ENSG00000067182
900,ENSG00000067191
901,ENSG00000067208
902,ENSG00000067221
903,ENSG00000067225
904,ENSG00000067248
905,ENSG00000067334
906,ENSG00000067365
907,ENSG00000067369
908,ENSG00000067445
909,ENSG00000067533
910,ENSG00000067560
911,ENSG00000067596
912,ENSG00000067606
913,ENSG00000067704
914,ENSG00000067798
915,ENSG00000067829
916,ENSG00000067836
917,ENSG00000067840
918,ENSG00000067900
919,ENSG00000067955
920,ENSG00000067992
921,ENSG00000068001
922,ENSG00000068024
923,ENSG00000068028
924,ENSG00000068078
925,ENSG00000068079
926,ENSG00000068097
927,ENSG00000068120
928,ENSG00000068137
929,ENSG00000068305
930,ENSG00000068308
931,ENSG00000068323
932,ENSG00000068354
933,ENSG00000068366
934,ENSG00000068383
935,ENSG00000068394
936,ENSG00000068400
937,ENSG00000068438
938,ENSG00000068489
939,ENSG00000068615
940,ENSG00000068650
941,ENSG00000068654
942,ENSG00000068697
943,ENSG00000068724
944,ENSG00000068745
945,ENSG00000068784
946,ENSG00000068796
947,ENSG00000068831
948,ENSG00000068878
949,ENSG00000068885
950,ENSG00000068903
951,ENSG00000068912
952,ENSG00000068971
953,ENSG00000068976
954,ENSG00000069011
955,ENSG00000069020
956,ENSG00000069122
957,ENSG00000069248
958,ENSG00000069275
959,ENSG00000069329
960,ENSG00000069345
961,ENSG00000069399
962,ENSG00000069424
963,ENSG00000069431
964,ENSG00000069482
965,ENSG00000069493
966,ENSG00000069509
967,ENSG00000069535
968,ENSG00000069667
969,ENSG00000069696
970,ENSG00000069702
971,ENSG00000069712
972,ENSG00000069764
973,ENSG00000069812
974,ENSG00000069849
975,ENSG00000069869
976,ENSG00000069943
977,ENSG00000069956
978,ENSG00000069966
979,ENSG00000069974
980,ENSG00000069998
981,ENSG00000070010
982,ENSG00000070018
983,ENSG00000070019
984,ENSG00000070031
985,ENSG00000070047
986,ENSG00000070061
987,ENSG00000070081
988,ENSG00000070087
989,ENSG00000070159
990,ENSG00000070182
991,ENSG00000070190
992,ENSG00000070214
993,ENSG00000070269
994,ENSG00000070366
995,ENSG00000070367
996,ENSG00000070371
997,ENSG00000070388
998,ENSG00000070404
999,ENSG00000070413
1000,ENSG00000070423
1001,ENSG00000070444
1002,ENSG00000070476
1003,ENSG00000070495
1004,ENSG00000070501
1005,ENSG00000070526
1006,ENSG00000070540
1007,ENSG00000070610
1008,ENSG00000070614
1009,ENSG00000070669
1010,ENSG00000070718
1011,ENSG00000070729
1012,ENSG00000070731
1013,ENSG00000070756
1014,ENSG00000070759
1015,ENSG00000070761
1016,ENSG00000070770
1017,ENSG00000070778
1018,ENSG00000070785
1019,ENSG00000070814
1020,ENSG00000070831
1021,ENSG00000070882
1022,ENSG00000070915
1023,ENSG00000070950
1024,ENSG00000070961
1025,ENSG00000071051
1026,ENSG00000071054
1027,ENSG00000071073
1028,ENSG00000071082
1029,ENSG00000071127
1030,ENSG00000071189
1031,ENSG00000071205
1032,ENSG00000071242
1033,ENSG00000071243
1034,ENSG00000071246
1035,ENSG00000071282
1036,ENSG00000071462
1037,ENSG00000071537
1038,ENSG00000071539
1039,ENSG00000071553
1040,ENSG00000071564
1041,ENSG00000071575
1042,ENSG00000071626
1043,ENSG00000071655
1044,ENSG00000071794
1045,ENSG00000071859
1046,ENSG00000071889
1047,ENSG00000071894
1048,ENSG00000071909
1049,ENSG00000071967
1050,ENSG00000071994
1051,ENSG00000072041
1052,ENSG00000072042
1053,ENSG00000072062
1054,ENSG00000072071
1055,ENSG00000072110
1056,ENSG00000072121
1057,ENSG00000072133
1058,ENSG00000072134
1059,ENSG00000072135
1060,ENSG00000072163
1061,ENSG00000072182
1062,ENSG00000072195
1063,ENSG00000072201
1064,ENSG00000072210
1065,ENSG00000072274
1066,ENSG00000072310
1067,ENSG00000072364
1068,ENSG00000072401
1069,ENSG00000072415
1070,ENSG00000072422
1071,ENSG00000072501
1072,ENSG00000072506
1073,ENSG00000072518
1074,ENSG00000072571
1075,ENSG00000072609
1076,ENSG00000072657
1077,ENSG00000072682
1078,ENSG00000072694
1079,ENSG00000072736
1080,ENSG00000072756
1081,ENSG00000072778
1082,ENSG00000072786
1083,ENSG00000072803
1084,ENSG00000072818
1085,ENSG00000072832
1086,ENSG00000072849
1087,ENSG00000072858
1088,ENSG00000072864
1089,ENSG00000072952
1090,ENSG00000072954
1091,ENSG00000072958
1092,ENSG00000073008
1093,ENSG00000073050
1094,ENSG00000073060
1095,ENSG00000073111
1096,ENSG00000073146
1097,ENSG00000073150
1098,ENSG00000073169
1099,ENSG00000073282
1100,ENSG00000073331
1101,ENSG00000073350
1102,ENSG00000073417
1103,ENSG00000073464
1104,ENSG00000073536
1105,ENSG00000073578
1106,ENSG00000073584
1107,ENSG00000073605
1108,ENSG00000073614
1109,ENSG00000073711
1110,ENSG00000073712
1111,ENSG00000073737
1112,ENSG00000073756
1113,ENSG00000073792
1114,ENSG00000073803
1115,ENSG00000073849
1116,ENSG00000073861
1117,ENSG00000073910
1118,ENSG00000073921
1119,ENSG00000073969
1120,ENSG00000074047
1121,ENSG00000074054
1122,ENSG00000074071
1123,ENSG00000074181
1124,ENSG00000074201
1125,ENSG00000074211
1126,ENSG00000074219
1127,ENSG00000074266
1128,ENSG00000074276
1129,ENSG00000074319
1130,ENSG00000074356
1131,ENSG00000074370
1132,ENSG00000074410
1133,ENSG00000074416
1134,ENSG00000074527
1135,ENSG00000074582
1136,ENSG00000074590
1137,ENSG00000074603
1138,ENSG00000074621
1139,ENSG00000074657
1140,ENSG00000074660
1141,ENSG00000074695
1142,ENSG00000074696
1143,ENSG00000074706
1144,ENSG00000074755
1145,ENSG00000074800
1146,ENSG00000074803
1147,ENSG00000074842
1148,ENSG00000074855
1149,ENSG00000074935
1150,ENSG00000074964
1151,ENSG00000074966
1152,ENSG00000075035
1153,ENSG00000075073
1154,ENSG00000075089
1155,ENSG00000075131
1156,ENSG00000075142
1157,ENSG00000075151
1158,ENSG00000075188
1159,ENSG00000075213
1160,ENSG00000075218
1161,ENSG00000075223
1162,ENSG00000075234
1163,ENSG00000075239
1164,ENSG00000075240
1165,ENSG00000075275
1166,ENSG00000075292
1167,ENSG00000075303
1168,ENSG00000075336
1169,ENSG00000075388
1170,ENSG00000075391
1171,ENSG00000075399
1172,ENSG00000075407
1173,ENSG00000075413
1174,ENSG00000075415
1175,ENSG00000075420
1176,ENSG00000075426
1177,ENSG00000075461
1178,ENSG00000075539
1179,ENSG00000075568
1180,ENSG00000075618
1181,ENSG00000075624
1182,ENSG00000075643
1183,ENSG00000075651
1184,ENSG00000075702
1185,ENSG00000075711
1186,ENSG00000075785
1187,ENSG00000075790
1188,ENSG00000075826
1189,ENSG00000075856
1190,ENSG00000075884
1191,ENSG00000075891
1192,ENSG00000075914
1193,ENSG00000075945
1194,ENSG00000075975
1195,ENSG00000076003
1196,ENSG00000076043
1197,ENSG00000076053
1198,ENSG00000076067
1199,ENSG00000076108
1200,ENSG00000076201
1201,ENSG00000076242
1202,ENSG00000076248
1203,ENSG00000076258
1204,ENSG00000076321
1205,ENSG00000076344
1206,ENSG00000076351
1207,ENSG00000076356
1208,ENSG00000076382
1209,ENSG00000076513
1210,ENSG00000076554
1211,ENSG00000076555
1212,ENSG00000076604
1213,ENSG00000076641
1214,ENSG00000076650
1215,ENSG00000076662
1216,ENSG00000076685
1217,ENSG00000076706
1218,ENSG00000076716
1219,ENSG00000076770
1220,ENSG00000076826
1221,ENSG00000076864
1222,ENSG00000076924
1223,ENSG00000076928
1224,ENSG00000076944
1225,ENSG00000076984
1226,ENSG00000077044
1227,ENSG00000077092
1228,ENSG00000077097
1229,ENSG00000077147
1230,ENSG00000077150
1231,ENSG00000077152
1232,ENSG00000077157
1233,ENSG00000077232
1234,ENSG00000077235
1235,ENSG00000077238
1236,ENSG00000077254
1237,ENSG00000077264
1238,ENSG00000077279
1239,ENSG00000077312
1240,ENSG00000077327
1241,ENSG00000077348
1242,ENSG00000077380
1243,ENSG00000077420
1244,ENSG00000077454
1245,ENSG00000077458
1246,ENSG00000077463
1247,ENSG00000077514
